50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 31 days, 20:00:00, reqId: 419, Date: 20230810 04:00:00 US/Eastern, O: 4512.0, H: 4514.25, L: 4507.75, C 4511.25
20230911, TimePassed: 31 days, 19:00:00, reqId: 419, Date: 20230810 05:00:00 US/Eastern, O: 4511.0, H: 4513.75, L: 4509.0, C 4511.0
20230911, TimePassed: 31 days, 18:00:00, reqId: 419, Date: 20230810 06:00:00 US/Eastern, O: 4511.25, H: 4511.75, L: 4506.0, C 4508.5
20230911, TimePassed: 31 days, 17:00:00, reqId: 419, Date: 20230810 07:00:00 US/Eastern, O: 4508.5, H: 4510.75, L: 4504.0, C 4505.5
20230911, TimePassed: 31 days, 16:00:00, reqId: 419, Date: 20230810 08:00:00 US/Eastern, O: 4505.5, H: 4525.0, L: 4494.0, C 4516.5
20230911, TimePassed: 31 days, 15:00:00, reqId: 419, Date: 20230810 09:00:00 US/Eastern, O: 4516.75, H: 4539.75, L: 4506.75, C 4539.5
20230911, TimePassed: 31 days, 14:00:00, reqId: 419, Date: 20230810 10:00:00 US/Eastern, O: 4539.75, H: 4545.0, L: 4514.25, C 4522.25
20230911, TimePassed: 31 days, 13:00:00, reqId: 419, Date: 20230810 11:00:00 US/Eastern, O: 4522.5, H: 4523.5, L: 4495.25, C 4502.75
20230911, TimePassed: 31 days, 12:00:00, reqId: 419, Date: 20230810 12:00:00 US/Eastern, O: 4502.75, H: 4506.25, L: 4485.75, C 4489.25
20230911, TimePassed: 31 days, 11:00:00, reqId: 419, Date: 20230810 13:00:00 US/Eastern, O: 4489.5, H: 4495.0, L: 4473.5, C 4475.0
20230911, TimePassed: 31 days, 10:00:00, reqId: 419, Date: 20230810 14:00:00 US/Eastern, O: 4475.25, H: 4501.5, L: 4474.5, C 4501.25
20230911, TimePassed: 31 days, 9:00:00, reqId: 419, Date: 20230810 15:00:00 US/Eastern, O: 4501.25, H: 4501.5, L: 4476.5, C 4486.25
20230911, TimePassed: 31 days, 8:00:00, reqId: 419, Date: 20230810 16:00:00 US/Eastern, O: 4486.25, H: 4488.5, L: 4482.0, C 4486.75
20230911, TimePassed: 31 days, 6:00:00, reqId: 419, Date: 20230810 18:00:00 US/Eastern, O: 4487.25, H: 4491.25, L: 4486.75, C 4490.25
20230911, TimePassed: 31 days, 5:00:00, reqId: 419, Date: 20230810 19:00:00 US/Eastern, O: 4490.25, H: 4492.5, L: 4488.25, C 4491.25
20230911, TimePassed: 31 days, 4:00:00, reqId: 419, Date: 20230810 20:00:00 US/Eastern, O: 4491.5, H: 4496.0, L: 4491.0, C 4495.0
